lat,lng,temperature
8.25,18.75,31.16
8.25,19.25,30.12
8.25,19.75,29.28
8.75,10.25,30.14
8.75,10.75,29.76
8.75,11.25,28.8
8.75,11.75,27.73
8.75,12.25,28.79
8.75,12.75,29.69
8.75,13.25,29.62
8.75,13.75,29.24
8.75,14.25,29.5
8.75,14.75,29.01
8.75,15.25,28.7
8.75,15.75,28.86
8.75,16.25,29.22
8.75,16.75,29.78
8.75,17.25,30.59
8.75,17.75,31.17
8.75,18.25,31.37
8.75,18.75,31.39
8.75,19.25,30.88
8.75,19.75,30.4
9.25,10.25,29.57
9.25,10.75,29.7
9.25,11.25,29.24
9.25,11.75,29.02
9.25,12.25,29.65
9.25,12.75,30.22
9.25,13.25,30.31
9.25,13.75,29.93
9.25,14.25,29.76
9.25,14.75,29.48
9.25,15.25,29.43
9.25,15.75,29.66
9.25,16.25,29.92
9.25,16.75,30.31
9.25,17.25,30.6
9.25,17.75,30.91
9.25,18.25,31.2
9.25,18.75,31.2
9.25,19.25,31.04
9.25,19.75,31.1
9.75,10.25,28.08
9.75,10.75,28.29
9.75,11.25,28.65
9.75,11.75,29.32
9.75,12.25,29.24
9.75,12.75,29.38
9.75,13.25,29.77
9.75,13.75,29.46
9.75,14.25,29.36
9.75,14.75,29.35
9.75,15.25,29.63
9.75,15.75,30.09
9.75,16.25,30.37
9.75,16.75,30.68
9.75,17.25,30.81
9.75,17.75,30.96
9.75,18.25,31.13
9.75,18.75,31.12
9.75,19.25,31.02
9.75,19.75,31.24
0.25,20.25,24.46
0.25,20.75,24.24
0.25,21.25,23.98
0.25,21.75,23.89
0.25,22.25,24.37
0.25,22.75,25.2
0.25,23.25,26.03
0.25,23.75,26.37
0.25,24.25,26.12
0.25,24.75,26.76
0.25,25.25,27.21
0.25,25.75,27.12
0.25,26.25,26.89
0.25,26.75,25.6
0.25,27.25,24.85
0.25,27.75,24.04
0.25,28.25,22.96
0.25,28.75,21.74
0.25,29.25,20.69
0.25,29.75,20.11
0.75,20.25,24.54
0.75,20.75,24.44
0.75,21.25,24.27
0.75,21.75,24.13
0.75,22.25,24.89
0.75,22.75,26.11
0.75,23.25,27.24
0.75,23.75,27.59
0.75,24.25,27.28
0.75,24.75,27.74
0.75,25.25,28.21
0.75,25.75,28.38
0.75,26.25,28.44
0.75,26.75,27.56
0.75,27.25,26.67
0.75,27.75,25.36
0.75,28.25,23.86
0.75,28.75,23.05
0.75,29.25,22.62
0.75,29.75,21.46
1.25,20.25,24.88
1.25,20.75,24.78
1.25,21.25,24.58
1.25,21.75,24.48
1.25,22.25,25.53
